position,handedness,player,pitcher,p_throws,lineup_spot,away_team,home_team,status,rating,team,playerid,FanDuel,DraftKings,pred_hr,pred_odds,diff,pick
CF,L,Jung Hoo Lee,Yoshinobu Yamamoto,R,7,LAD,SF,home,3.52,SF,808982.0,1200.0,1300.0,10.100000000000001,890.0,410.0,0.0
2B,R,Casey Schmitt,Yoshinobu Yamamoto,R,8,LAD,SF,home,3.87,SF,669477.0,900.0,700.0,11.1,801.0,99.0,0.0
C,S,Patrick Bailey,Yoshinobu Yamamoto,R,9,LAD,SF,home,3.22,SF,672275.0,1100.0,1300.0,9.2,987.0,313.0,0.0
RF,L,Corbin Carroll,Jose Soriano,R,1,ARI,LAA,away,6.66,ARI,682998.0,350.0,260.0,19.0,426.0,-76.0,0.0
LF,L,Jake McCarthy,Jose Soriano,R,2,ARI,LAA,away,4.46,ARI,664983.0,,1100.0,12.8,681.0,,0.0
SS,S,Geraldo Perdomo,Jose Soriano,R,3,ARI,LAA,away,3.93,ARI,672695.0,870.0,800.0,11.200000000000001,793.0,77.0,0.0
1B,L,Josh Naylor,Jose Soriano,R,4,ARI,LAA,away,5.48,ARI,647304.0,480.0,425.0,15.7,537.0,-57.0,0.0
3B,R,Eugenio Suarez,Jose Soriano,R,5,ARI,LAA,away,5.56,ARI,553993.0,320.0,275.0,15.9,529.0,-209.0,0.0
DH,R,Lourdes Gurriel,Jose Soriano,R,6,ARI,LAA,away,4.03,ARI,666971.0,600.0,600.0,11.5,770.0,-170.0,0.0
CF,L,Alek Thomas,Jose Soriano,R,7,ARI,LAA,away,5.82,ARI,677950.0,800.0,700.0,16.6,502.0,298.0,0.0
C,S,Jose Herrera,Jose Soriano,R,9,ARI,LAA,away,2.94,ARI,645444.0,,1500.0,8.4,1090.0,,0.0
SS,R,Zach Neto,Merrill Kelly,R,1,ARI,LAA,home,6.85,LAA,687263.0,470.0,380.0,19.6,410.0,60.0,0.0
1B,L,Nolan Schanuel,Merrill Kelly,R,2,ARI,LAA,home,5.47,LAA,694384.0,830.0,650.0,15.6,541.0,289.0,0.0
DH,R,Mike Trout,Merrill Kelly,R,3,ARI,LAA,home,7.65,LAA,545361.0,255.0,225.0,21.9,357.0,-102.0,0.0
LF,R,Taylor Ward,Merrill Kelly,R,4,ARI,LAA,home,7.15,LAA,621493.0,430.0,400.0,20.4,390.0,40.0,0.0
CF,R,Jo Adell,Merrill Kelly,R,5,ARI,LAA,home,6.76,LAA,666176.0,370.0,370.0,19.3,418.0,-48.0,0.0
3B,S,Yoan Moncada,Merrill Kelly,R,6,ARI,LAA,home,5.84,LAA,660162.0,520.0,390.0,16.7,499.0,21.0,0.0
C,R,Logan O'Hoppe,Merrill Kelly,R,7,ARI,LAA,home,5.59,LAA,681351.0,,425.0,16.0,525.0,,0.0
RF,L,LaMonte Wade,Merrill Kelly,R,8,ARI,LAA,home,5.25,LAA,664774.0,,,15.0,567.0,,0.0
2B,S,Luis Rengifo,Merrill Kelly,R,9,ARI,LAA,home,3.97,LAA,650859.0,900.0,850.0,11.4,777.0,123.0,0.0
DH,L,Kyle Schwarber,Nick Pivetta,R,1,PHI,SD,away,8.74,PHI,656941.0,255.0,235.0,25.0,300.0,-45.0,0.0
SS,R,Trea Turner,Nick Pivetta,R,2,PHI,SD,away,4.69,PHI,607208.0,440.0,450.0,13.4,646.0,-196.0,0.0
1B,L,Bryce Harper,Nick Pivetta,R,3,PHI,SD,away,6.42,PHI,547180.0,400.0,360.0,18.4,443.0,-43.0,0.0
RF,R,Nick Castellanos,Nick Pivetta,R,4,PHI,SD,away,5.26,PHI,592206.0,460.0,425.0,15.0,567.0,-107.0,0.0
C,R,J.T. Realmuto,Nick Pivetta,R,5,PHI,SD,away,4.79,PHI,592663.0,500.0,500.0,13.700000000000001,630.0,-130.0,0.0
2B,L,Bryson Stott,Nick Pivetta,R,6,PHI,SD,away,4.81,PHI,681082.0,900.0,850.0,13.8,625.0,275.0,0.0
CF,L,Brandon Marsh,Nick Pivetta,R,8,PHI,SD,away,5.14,PHI,669016.0,870.0,750.0,14.7,580.0,290.0,0.0
3B,R,Edmundo Sosa,Nick Pivetta,R,9,PHI,SD,away,3.61,PHI,624641.0,800.0,,10.299999999999999,871.0,-71.0,0.0
RF,R,Fernando Tatis,Cristopher Sanchez,L,1,PHI,SD,home,5.72,SD,665487.0,470.0,500.0,16.400000000000002,510.0,-10.0,0.0
1B,L,Luis Arraez,Cristopher Sanchez,L,2,PHI,SD,home,1.95,SD,650333.0,1200.0,1300.0,5.6000000000000005,1686.0,-386.0,0.0
3B,R,Manny Machado,Cristopher Sanchez,L,3,PHI,SD,home,6.53,SD,592518.0,420.0,425.0,18.7,435.0,-10.0,0.0
SS,R,Xander Bogaerts,Cristopher Sanchez,L,4,PHI,SD,home,3.99,SD,593428.0,900.0,750.0,11.4,777.0,123.0,0.0
CF,L,Jackson Merrill,Cristopher Sanchez,L,5,PHI,SD,home,4.05,SD,701538.0,800.0,650.0,11.600000000000001,762.0,38.0,0.0
2B,R,Jose Iglesias,Cristopher Sanchez,L,6,PHI,SD,home,2.92,SD,578428.0,1500.0,1400.0,8.4,1090.0,410.0,0.0
C,R,Elias Diaz,Cristopher Sanchez,L,9,PHI,SD,home,3.65,SD,553869.0,,,10.4,862.0,,0.0
